"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video"
"pavlovia","0","1308","0.0-0.0","614e0000692b265cf52c1c45","63690f60c96a0a9a64b48fbd","63691550907f21356ef5ee41","","","","","","","","","",""
"external-html","1","19115","0.0-1.0-0.0","614e0000692b265cf52c1c45","63690f60c96a0a9a64b48fbd","63691550907f21356ef5ee41","17654","new_consent.html","","","","","","","",""
"survey-multi-choice","2","24237","0.0-1.0-1.0","614e0000692b265cf52c1c45","63690f60c96a0a9a64b48fbd","63691550907f21356ef5ee41","5108","","{""Q0"":""Female"",""Q1"":""White""}","[0,1]","","","","","",""
"survey-text","3","27881","0.0-1.0-2.0","614e0000692b265cf52c1c45","63690f60c96a0a9a64b48fbd","63691550907f21356ef5ee41","3617","","{""Q0"":""43""}","","","","","","",""
"instructions","4","44595","0.0-2.0","614e0000692b265cf52c1c45","63690f60c96a0a9a64b48fbd","63691550907f21356ef5ee41","16609","","","","[{""page_index"":0,""viewing_time"":14075},{""page_index"":1,""viewing_time"":2530}]","","","","",""
"instructions","5","46064","0.0-3.0","614e0000692b265cf52c1c45","63690f60c96a0a9a64b48fbd","63691550907f21356ef5ee41","1466","","","","[{""page_index"":0,""viewing_time"":1465}]","","","","",""
"preload","6","49987","0.0-4.0-0.0","614e0000692b265cf52c1c45","63690f60c96a0a9a64b48fbd","63691550907f21356ef5ee41","","","","","","true","false","[]","[]","[]"
"instructions","7","117831","0.0-4.0-1.0","614e0000692b265cf52c1c45","63690f60c96a0a9a64b48fbd","63691550907f21356ef5ee41","67843","","","","[{""page_index"":0,""viewing_time"":11050},{""page_index"":1,""viewing_time"":17059},{""page_index"":2,""viewing_time"":9968},{""page_index"":3,""viewing_time"":15411},{""page_index"":4,""viewing_time"":14353}]","","","","",""
