"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","highH_score","state","rewarded","state1_action","state2_visited","state1_key","state2_key","state1_rt","state2_rt","block_num","seq_file","trial_seq_info","two_arm_score_block1","two_arm_score_block2","two_arm_score_total","total_bonus"
"pavlovia","0","3281","0.0-0.0","5f6056e9a41e0d14d4c19f4c","63690f60c96a0a9a64b48fbc","63691d893b806c079eef62dd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","174134","0.0-1.0-0.0","5f6056e9a41e0d14d4c19f4c","63690f60c96a0a9a64b48fbc","63691d893b806c079eef62dd","170420","new_consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","179086","0.0-1.0-1.0","5f6056e9a41e0d14d4c19f4c","63690f60c96a0a9a64b48fbc","63691d893b806c079eef62dd","4950","","{""Q0"":""Male"",""Q1"":""White""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","182910","0.0-1.0-2.0","5f6056e9a41e0d14d4c19f4c","63690f60c96a0a9a64b48fbc","63691d893b806c079eef62dd","3819","","{""Q0"":""36""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","527316","0.0-2.0","5f6056e9a41e0d14d4c19f4c","63690f60c96a0a9a64b48fbc","63691d893b806c079eef62dd","344300","","","","[{""page_index"":0,""viewing_time"":342235},{""page_index"":1,""viewing_time"":2064}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","5","538571","0.0-3.0","5f6056e9a41e0d14d4c19f4c","63690f60c96a0a9a64b48fbc","63691d893b806c079eef62dd","11254","","","","[{""page_index"":0,""viewing_time"":11254}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","6","570017","0.0-4.0-0.0","5f6056e9a41e0d14d4c19f4c","63690f60c96a0a9a64b48fbc","63691d893b806c079eef62dd","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","7","1236790","0.0-4.0-1.0","5f6056e9a41e0d14d4c19f4c","63690f60c96a0a9a64b48fbc","63691d893b806c079eef62dd","666772","","","","[{""page_index"":0,""viewing_time"":405686},{""page_index"":1,""viewing_time"":11576},{""page_index"":2,""viewing_time"":5296},{""page_index"":3,""viewing_time"":1688},{""page_index"":4,""viewing_time"":5429},{""page_index"":3,""viewing_time"":2427},{""page_index"":4,""viewing_time"":1420},{""page_index"":5,""viewing_time"":46052},{""page_index"":6,""viewing_time"":12312},{""page_index"":7,""viewing_time"":9072},{""page_index"":8,""viewing_time"":8152},{""page_index"":9,""viewing_time"":12544},{""page_index"":10,""viewing_time"":143231},{""page_index"":11,""viewing_time"":1888}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","8","1273110","0.0-4.0-2.0-0.0-0.0","5f6056e9a41e0d14d4c19f4c","63690f60c96a0a9a64b48fbc","63691d893b806c079eef62dd","36318","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","1277006","0.0-4.0-2.0-1.0-0.0","5f6056e9a41e0d14d4c19f4c","63690f60c96a0a9a64b48fbc","63691d893b806c079eef62dd","2527","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","10","1293509","0.0-4.0-2.0-2.0-0.0","5f6056e9a41e0d14d4c19f4c","63690f60c96a0a9a64b48fbc","63691d893b806c079eef62dd","15383","","0","","","","","","","","<div align=center>When there is a 1% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","11","1295893","0.0-4.0-2.0-3.0-0.0","5f6056e9a41e0d14d4c19f4c","63690f60c96a0a9a64b48fbc","63691d893b806c079eef62dd","1295","","1","","","","","","","","<div align=center>When there is a 99% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","12","1298646","0.0-4.0-3.0","5f6056e9a41e0d14d4c19f4c","63690f60c96a0a9a64b48fbc","63691d893b806c079eef62dd","1824","","","","[{""page_index"":0,""viewing_time"":1824}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","1317297","0.0-4.0-4.0-0.0","5f6056e9a41e0d14d4c19f4c","63690f60c96a0a9a64b48fbc","63691d893b806c079eef62dd","18650",""," ","","","","","","","","<div align=center>In this practice block, there will be a <b>10% chance</b> that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","14","1321641","0.0-4.0-4.0-1.0-0.0","5f6056e9a41e0d14d4c19f4c","63690f60c96a0a9a64b48fbc","63691d893b806c079eef62dd","4341","","f","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","practice","0","1","1","0","1","true","","","","","","","","","","","","","","","","",""
"image-keyboard-response","15","1321946","0.0-4.0-4.0-1.0-1.0","5f6056e9a41e0d14d4c19f4c","63690f60c96a0a9a64b48fbc","63691d893b806c079eef62dd","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","16","1322455","0.0-4.0-4.0-1.0-2.0","5f6056e9a41e0d14d4c19f4c","63690f60c96a0a9a64b48fbc","63691d893b806c079eef62dd","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","17","1325417","0.0-4.0-4.0-1.0-0.1","5f6056e9a41e0d14d4c19f4c","63690f60c96a0a9a64b48fbc","63691d893b806c079eef62dd","2960","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","1","1","1","1","1","true","","","","","","","","","","","","","","","","",""
