"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","highH_score","state","rewarded"
"image-keyboard-response","20","29138","0.0-4.0-4.0-1.0-0.2","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","114","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","2","1","2","1","2","true","","","",""
"image-keyboard-response","21","29447","0.0-4.0-4.0-1.0-1.2","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","22","29955","0.0-4.0-4.0-1.0-2.2","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","",""
"image-keyboard-response","23","30034","0.0-4.0-4.0-1.0-0.3","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","75","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","3","1","1","2","2","false","","","",""
"image-keyboard-response","24","30342","0.0-4.0-4.0-1.0-1.3","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","25","30854","0.0-4.0-4.0-1.0-2.3","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","","","","","",""
"image-keyboard-response","26","30874","0.0-4.0-4.0-1.0-0.4","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","19","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","4","1","2","1","2","true","","","",""
"image-keyboard-response","27","31182","0.0-4.0-4.0-1.0-1.4","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","28","31695","0.0-4.0-4.0-1.0-2.4","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","",""
"html-keyboard-response","29","32896","0.0-4.0-4.0-2.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","1201",""," ","","","","","","","","","","","","","","","","","","",""
"instructions","30","33276","0.0-4.0-5.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","380","","","","[{""page_index"":0,""viewing_time"":230},{""page_index"":1,""viewing_time"":150}]","","","","","","","","","","","","","","","","",""
"html-keyboard-response","31","33968","0.0-4.0-6.0-0.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","691",""," ","","","","","","","","<div align=center>In this block, there will be a <b>1% chance</b> that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","","",""
"image-keyboard-response","32","34172","0.0-4.0-6.0-1.0-0.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","202","","j","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","lowH","0","2","2","0","2","true","","","",""
"image-keyboard-response","33","34477","0.0-4.0-6.0-1.0-1.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","34","34992","0.0-4.0-6.0-1.0-2.0","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","",""
"image-keyboard-response","35","35141","0.0-4.0-6.0-1.0-0.1","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","148","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","1","2","2","2","2","true","","","",""
"image-keyboard-response","36","35444","0.0-4.0-6.0-1.0-1.1","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","37","35953","0.0-4.0-6.0-1.0-2.1","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","",""
"image-keyboard-response","38","36070","0.0-4.0-6.0-1.0-0.2","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","115","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","2","2","2","2","2","true","","","",""
"image-keyboard-response","39","36385","0.0-4.0-6.0-1.0-1.2","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","40","36901","0.0-4.0-6.0-1.0-2.2","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","",""
"image-keyboard-response","41","36915","0.0-4.0-6.0-1.0-0.3","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","13","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","3","2","2","2","2","true","","","",""
"image-keyboard-response","42","37223","0.0-4.0-6.0-1.0-1.3","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","43","37736","0.0-4.0-6.0-1.0-2.3","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","",""
"image-keyboard-response","44","37895","0.0-4.0-6.0-1.0-0.4","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","158","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","4","2","1","2","2","false","","","",""
"image-keyboard-response","45","38200","0.0-4.0-6.0-1.0-1.4","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","46","38711","0.0-4.0-6.0-1.0-2.4","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","","","","","",""
"image-keyboard-response","47","38888","0.0-4.0-6.0-1.0-0.5","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","175","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","lowH","5","2","2","1","2","true","","","",""
"image-keyboard-response","48","39194","0.0-4.0-6.0-1.0-1.5","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","49","39703","0.0-4.0-6.0-1.0-2.5","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","",""
"image-keyboard-response","50","39818","0.0-4.0-6.0-1.0-0.6","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","113","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","6","2","2","2","2","true","","","",""
"image-keyboard-response","51","40123","0.0-4.0-6.0-1.0-1.6","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","52","40633","0.0-4.0-6.0-1.0-2.6","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","",""
"image-keyboard-response","53","40754","0.0-4.0-6.0-1.0-0.7","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","120","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","7","2","2","2","2","true","","","",""
"image-keyboard-response","54","41066","0.0-4.0-6.0-1.0-1.7","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
"image-keyboard-response","55","41582","0.0-4.0-6.0-1.0-2.7","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","",""
"image-keyboard-response","56","41695","0.0-4.0-6.0-1.0-0.8","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","110","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","lowH","8","2","2","2","2","true","","","",""
"image-keyboard-response","57","42000","0.0-4.0-6.0-1.0-1.8","60520f7b38610f36b366a806","6359551218e5c682346227eb","0x8awt1y35pa","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","",""
