"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","highH_score","state","rewarded","state1_action","state2_visited","state1_key","state2_key","state1_rt","state2_rt","block_num","seq_file","trial_seq_info","two_arm_score_block1","two_arm_score_block2","two_arm_score_total","total_bonus"
"pavlovia","0","1169","0.0-0.0","5d1765dbe784250019adf3ed","63690f60c96a0a9a64b48fbc","63691dbc32adbdaa10094e8d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","44906","0.0-1.0-0.0","5d1765dbe784250019adf3ed","63690f60c96a0a9a64b48fbc","63691dbc32adbdaa10094e8d","43611","new_consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","54482","0.0-1.0-1.0","5d1765dbe784250019adf3ed","63690f60c96a0a9a64b48fbc","63691dbc32adbdaa10094e8d","9575","","{""Q0"":""Male"",""Q1"":""White""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","57959","0.0-1.0-2.0","5d1765dbe784250019adf3ed","63690f60c96a0a9a64b48fbc","63691dbc32adbdaa10094e8d","3475","","{""Q0"":""28""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","95453","0.0-2.0","5d1765dbe784250019adf3ed","63690f60c96a0a9a64b48fbc","63691dbc32adbdaa10094e8d","37384","","","","[{""page_index"":0,""viewing_time"":30073},{""page_index"":1,""viewing_time"":7311}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","5","97337","0.0-3.0","5d1765dbe784250019adf3ed","63690f60c96a0a9a64b48fbc","63691dbc32adbdaa10094e8d","1883","","","","[{""page_index"":0,""viewing_time"":1883}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","6","98434","0.0-4.0-0.0","5d1765dbe784250019adf3ed","63690f60c96a0a9a64b48fbc","63691dbc32adbdaa10094e8d","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","7","248368","0.0-4.0-1.0","5d1765dbe784250019adf3ed","63690f60c96a0a9a64b48fbc","63691dbc32adbdaa10094e8d","149934","","","","[{""page_index"":0,""viewing_time"":23512},{""page_index"":1,""viewing_time"":12939},{""page_index"":2,""viewing_time"":6360},{""page_index"":3,""viewing_time"":4365},{""page_index"":4,""viewing_time"":12482},{""page_index"":5,""viewing_time"":30041},{""page_index"":6,""viewing_time"":10631},{""page_index"":7,""viewing_time"":8047},{""page_index"":8,""viewing_time"":9414},{""page_index"":9,""viewing_time"":13396},{""page_index"":10,""viewing_time"":13478},{""page_index"":11,""viewing_time"":5269}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","8","254700","0.0-4.0-2.0-0.0-0.0","5d1765dbe784250019adf3ed","63690f60c96a0a9a64b48fbc","63691dbc32adbdaa10094e8d","6332","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","263396","0.0-4.0-2.0-1.0-0.0","5d1765dbe784250019adf3ed","63690f60c96a0a9a64b48fbc","63691dbc32adbdaa10094e8d","7011","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
