"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","highH_score","state","rewarded","state1_action","state2_visited","state1_key","state2_key","state1_rt","state2_rt","block_num","seq_file","trial_seq_info","two_arm_score_block1","two_arm_score_block2","two_arm_score_total","total_bonus"
"pavlovia","0","930","0.0-0.0","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","77986","0.0-1.0-0.0","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","76944","new_consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","82357","0.0-1.0-1.0","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","4369","","{""Q0"":""Male"",""Q1"":""White""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","85874","0.0-1.0-2.0","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","3514","","{""Q0"":""27""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","100356","0.0-2.0","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","14366","","","","[{""page_index"":0,""viewing_time"":11839},{""page_index"":1,""viewing_time"":2526}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","5","101321","0.0-3.0","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","964","","","","[{""page_index"":0,""viewing_time"":964}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","6","106809","0.0-4.0-0.0","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","7","849404","0.0-4.0-1.0","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","742595","","","","[{""page_index"":0,""viewing_time"":42475},{""page_index"":1,""viewing_time"":2554},{""page_index"":2,""viewing_time"":2792},{""page_index"":3,""viewing_time"":1140},{""page_index"":4,""viewing_time"":2923},{""page_index"":5,""viewing_time"":513877},{""page_index"":6,""viewing_time"":24588},{""page_index"":7,""viewing_time"":7991},{""page_index"":8,""viewing_time"":3031},{""page_index"":9,""viewing_time"":2485},{""page_index"":10,""viewing_time"":137838},{""page_index"":11,""viewing_time"":900}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","8","851084","0.0-4.0-2.0-0.0-0.0","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","1678","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","852232","0.0-4.0-2.0-1.0-0.0","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","619","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","10","853348","0.0-4.0-2.0-2.0-0.0","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","553","","0","","","","","","","","<div align=center>When there is a 1% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","11","854488","0.0-4.0-2.0-3.0-0.0","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","618","","1","","","","","","","","<div align=center>When there is a 99% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","12","857626","0.0-4.0-3.0","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","2529","","","","[{""page_index"":0,""viewing_time"":2529}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","858611","0.0-4.0-4.0-0.0","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","985",""," ","","","","","","","","<div align=center>In this practice block, there will be a <b>10% chance</b> that the jar on the next trial will be different from the jar on the current trial.<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","14","860145","0.0-4.0-4.0-1.0-0.0","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","1528","","j","","","","","","","","./tasks/HMM-beads/Images/NoChoice.png","practice","0","1","1","0","2","false","","","","","","","","","","","","","","","","",""
"image-keyboard-response","15","860451","0.0-4.0-4.0-1.0-1.0","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","16","860962","0.0-4.0-4.0-1.0-2.0","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","17","861131","0.0-4.0-4.0-1.0-0.1","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","168","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","1","1","1","1","2","false","","","","","","","","","","","","","","","","",""
"image-keyboard-response","18","861444","0.0-4.0-4.0-1.0-1.1","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","19","861955","0.0-4.0-4.0-1.0-2.1","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceWrong.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","20","862074","0.0-4.0-4.0-1.0-0.2","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","118","","j","","","","","","","","./tasks/HMM-beads/Images/NewTrialBC.png","practice","2","1","2","1","2","true","","","","","","","","","","","","","","","","",""
"image-keyboard-response","21","862392","0.0-4.0-4.0-1.0-1.2","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","22","862904","0.0-4.0-4.0-1.0-2.2","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","null","","null","","","","","","","","./tasks/HMM-beads/Images/WhiteBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","23","863036","0.0-4.0-4.0-1.0-0.3","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","130","","f","","","","","","","","./tasks/HMM-beads/Images/NewTrialWC.png","practice","3","1","1","2","1","true","","","","","","","","","","","","","","","","",""
"image-keyboard-response","24","863341","0.0-4.0-4.0-1.0-1.3","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoice.png","","","","","","","","","","","","","","","","","","","","","","","",""
"image-keyboard-response","25","863851","0.0-4.0-4.0-1.0-2.3","60520f7b38610f36b366a806","6367f433b739b6e52a2c937e","020y3yvj9wzc","null","","null","","","","","","","","./tasks/HMM-beads/Images/BlackBeadChoiceCorrect.png","","","","","","","","","","","","","","","","","","","","","","","",""
