"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","highH_score","lowH_score","state","rewarded","state1_action","state2_visited","state1_key","state2_key","state1_rt","state2_rt","block_num","seq_file","trial_seq_info","two_arm_score_block1","two_arm_score_block2","two_arm_score_total","total_bonus"
"pavlovia","0","1412","0.0-0.0","63168f4d57bf8e3c1a5cf056","63690f60c96a0a9a64b48fbc","63691970d5695b837e9fbf9b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","62172","0.0-1.0-0.0","63168f4d57bf8e3c1a5cf056","63690f60c96a0a9a64b48fbc","63691970d5695b837e9fbf9b","60570","new_consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","69474","0.0-1.0-1.0","63168f4d57bf8e3c1a5cf056","63690f60c96a0a9a64b48fbc","63691970d5695b837e9fbf9b","7298","","{""Q0"":""Male"",""Q1"":""Hispanic or Latino""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","74107","0.0-1.0-2.0","63168f4d57bf8e3c1a5cf056","63690f60c96a0a9a64b48fbc","63691970d5695b837e9fbf9b","4627","","{""Q0"":""26""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","95249","0.0-2.0","63168f4d57bf8e3c1a5cf056","63690f60c96a0a9a64b48fbc","63691970d5695b837e9fbf9b","21029","","","","[{""page_index"":0,""viewing_time"":17977},{""page_index"":1,""viewing_time"":3051}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","5","96983","0.0-3.0","63168f4d57bf8e3c1a5cf056","63690f60c96a0a9a64b48fbc","63691970d5695b837e9fbf9b","1733","","","","[{""page_index"":0,""viewing_time"":1733}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","6","98776","0.0-4.0-0.0","63168f4d57bf8e3c1a5cf056","63690f60c96a0a9a64b48fbc","63691970d5695b837e9fbf9b","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","7","275284","0.0-4.0-1.0","63168f4d57bf8e3c1a5cf056","63690f60c96a0a9a64b48fbc","63691970d5695b837e9fbf9b","176508","","","","[{""page_index"":0,""viewing_time"":14547},{""page_index"":1,""viewing_time"":14121},{""page_index"":2,""viewing_time"":7568},{""page_index"":3,""viewing_time"":2888},{""page_index"":4,""viewing_time"":36935},{""page_index"":5,""viewing_time"":34290},{""page_index"":6,""viewing_time"":7335},{""page_index"":7,""viewing_time"":23477},{""page_index"":6,""viewing_time"":5135},{""page_index"":7,""viewing_time"":1605},{""page_index"":8,""viewing_time"":11638},{""page_index"":9,""viewing_time"":7965},{""page_index"":10,""viewing_time"":6735},{""page_index"":11,""viewing_time"":2268}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","8","279301","0.0-4.0-2.0-0.0-0.0","63168f4d57bf8e3c1a5cf056","63690f60c96a0a9a64b48fbc","63691970d5695b837e9fbf9b","4016","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","287070","0.0-4.0-2.0-1.0-0.0","63168f4d57bf8e3c1a5cf056","63690f60c96a0a9a64b48fbc","63691970d5695b837e9fbf9b","5712","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","","","","","","","","","","","","","","","",""
