"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history"
"pavlovia","0","5752","0.0-0.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","","","","",""
"external-html","1","99617","0.0-1.0-0.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","93278","new_consent.html","","",""
"survey-multi-choice","2","106888","0.0-1.0-1.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","7265","","{""Q0"":""Male"",""Q1"":""Black or African American""}","[0,1]",""
"survey-text","3","110917","0.0-1.0-2.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","4016","","{""Q0"":""26""}","",""
"instructions","4","133952","0.0-2.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","22927","","","","[{""page_index"":0,""viewing_time"":19971},{""page_index"":1,""viewing_time"":2953}]"
"instructions","5","136076","0.0-3.0","636591f6c00e52efc8749ae3","63690f60c96a0a9a64b48fbc","63691c93ef6dab77e1d49b3b","2123","","","","[{""page_index"":0,""viewing_time"":2122}]"
