"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","highH_score","state","rewarded","state1_action","state2_visited","state1_key","state2_key","state1_rt","state2_rt","two_arm_score","total_bonus"
"pavlovia","0","1543","0.0-0.0","603595f7c81d8e6ceaa65476","635ab8fc87ce89828e04cd4d","635ac4a16af0122f9a07801b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","7222","0.0-1.0-0.0","603595f7c81d8e6ceaa65476","635ab8fc87ce89828e04cd4d","635ac4a16af0122f9a07801b","5394","new_consent.html","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","10383","0.0-1.0-1.0","603595f7c81d8e6ceaa65476","635ab8fc87ce89828e04cd4d","635ac4a16af0122f9a07801b","3158","","{""Q0"":""Male"",""Q1"":""Asian""}","[0,1]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-text","3","12595","0.0-1.0-2.0","603595f7c81d8e6ceaa65476","635ab8fc87ce89828e04cd4d","635ac4a16af0122f9a07801b","2201","","{""Q0"":""19""}","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","22478","0.0-2.0","603595f7c81d8e6ceaa65476","635ab8fc87ce89828e04cd4d","635ac4a16af0122f9a07801b","9782","","","","[{""page_index"":0,""viewing_time"":8841},{""page_index"":1,""viewing_time"":940}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","5","23203","0.0-3.0","603595f7c81d8e6ceaa65476","635ab8fc87ce89828e04cd4d","635ac4a16af0122f9a07801b","724","","","","[{""page_index"":0,""viewing_time"":724}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","6","24698","0.0-4.0-0.0","603595f7c81d8e6ceaa65476","635ab8fc87ce89828e04cd4d","635ac4a16af0122f9a07801b","","","","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","",""
"instructions","7","100805","0.0-4.0-1.0","603595f7c81d8e6ceaa65476","635ab8fc87ce89828e04cd4d","635ac4a16af0122f9a07801b","76107","","","","[{""page_index"":0,""viewing_time"":4862},{""page_index"":1,""viewing_time"":27347},{""page_index"":2,""viewing_time"":1422},{""page_index"":3,""viewing_time"":1038},{""page_index"":4,""viewing_time"":4634},{""page_index"":5,""viewing_time"":17137},{""page_index"":6,""viewing_time"":4258},{""page_index"":7,""viewing_time"":3327},{""page_index"":8,""viewing_time"":1672},{""page_index"":9,""viewing_time"":2643},{""page_index"":10,""viewing_time"":6814},{""page_index"":11,""viewing_time"":953}]","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","8","103427","0.0-4.0-2.0-0.0-0.0","603595f7c81d8e6ceaa65476","635ab8fc87ce89828e04cd4d","635ac4a16af0122f9a07801b","2621","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","","","","","","","","","","",""
"html-button-response","9","108231","0.0-4.0-2.0-1.0-0.0","603595f7c81d8e6ceaa65476","635ab8fc87ce89828e04cd4d","635ac4a16af0122f9a07801b","3465","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","","","","","","","","","","",""
